index,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,teams_playing,match_id
264,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,India vs England,T20I # 1878
265,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,New Zealand vs Pakistan,T20I # 1877
266,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,New Zealand vs Pakistan,T20I # 1877
267,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,New Zealand vs Pakistan,T20I # 1877
268,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,New Zealand vs Pakistan,T20I # 1877
269,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,New Zealand vs Pakistan,T20I # 1877
270,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0,India vs Zimbabwe,T20I # 1873
271,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0,India vs Zimbabwe,T20I # 1873
272,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0,India vs Zimbabwe,T20I # 1873
273,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1,India vs Zimbabwe,T20I # 1873
274,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0,India vs Zimbabwe,T20I # 1873
275,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0,India vs Zimbabwe,T20I # 1873
276,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1,Bangladesh vs Pakistan,T20I # 1872
277,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0,Bangladesh vs Pakistan,T20I # 1872
278,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,Bangladesh vs Pakistan,T20I # 1872
279,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0,Bangladesh vs Pakistan,T20I # 1872
280,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1,Bangladesh vs Pakistan,T20I # 1872
281,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0,Netherlands vs South Africa,T20I # 1871
282,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1,Netherlands vs South Africa,T20I # 1871
283,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0,Netherlands vs South Africa,T20I # 1871
284,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0,Netherlands vs South Africa,T20I # 1871
285,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0,Netherlands vs South Africa,T20I # 1871
286,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0,Netherlands vs South Africa,T20I # 1871
287,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2,Netherlands vs South Africa,T20I # 1871
288,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0,Sri Lanka vs England,T20I # 1867
289,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0,Sri Lanka vs England,T20I # 1867
290,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1,Sri Lanka vs England,T20I # 1867
291,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0,Sri Lanka vs England,T20I # 1867
292,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0,Sri Lanka vs England,T20I # 1867
293,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0,Sri Lanka vs England,T20I # 1867
294,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,Australia vs Afghanistan,T20I # 1864
295,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0,Australia vs Afghanistan,T20I # 1864
296,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0,Australia vs Afghanistan,T20I # 1864
297,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0,Australia vs Afghanistan,T20I # 1864
298,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0,Australia vs Afghanistan,T20I # 1864
299,Cameron Green,2,0,13,0,6.50,7,1,1,0,0,Australia vs Afghanistan,T20I # 1864
300,Trent Boult,4,0,38,0,9.50,8,4,1,0,0,New Zealand vs Ireland,T20I # 1862
301,Tim Southee,4,0,29,2,7.25,8,2,1,0,0,New Zealand vs Ireland,T20I # 1862
302,Lockie Ferguson,4,0,22,3,5.50,10,1,0,0,0,New Zealand vs Ireland,T20I # 1862
303,Mitchell Santner,4,0,26,2,6.50,12,3,1,0,0,New Zealand vs Ireland,T20I # 1862
304,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0,New Zealand vs Ireland,T20I # 1862
305,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0,Pakistan vs South Africa,T20I # 1861
306,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0,Pakistan vs South Africa,T20I # 1861
307,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0,Pakistan vs South Africa,T20I # 1861
308,Mohammad Wasim,2,0,13,1,6.50,3,1,0,0,0,Pakistan vs South Africa,T20I # 1861
309,Shadab Khan,2,0,16,2,8.00,5,1,1,0,0,Pakistan vs South Africa,T20I # 1861
310,Mohammad Nawaz,1,0,2,0,2.00,4,0,0,0,0,Pakistan vs South Africa,T20I # 1861
311,Bhuvneshwar Kumar,3,0,27,0,9.00,7,2,2,0,0,India vs Bangladesh,T20I # 1860
312,Arshdeep Singh,4,0,38,2,9.50,10,5,1,0,0,India vs Bangladesh,T20I # 1860
313,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0,India vs Bangladesh,T20I # 1860
314,Axar Patel,1,0,6,0,6.00,2,0,0,0,0,India vs Bangladesh,T20I # 1860
315,Ravichandran Ashwin,2,0,19,0,9.50,4,3,0,1,0,India vs Bangladesh,T20I # 1860
316,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0,India vs Bangladesh,T20I # 1860
317,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0,Zimbabwe vs Netherlands,T20I # 1859
318,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0,Zimbabwe vs Netherlands,T20I # 1859
319,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,Zimbabwe vs Netherlands,T20I # 1859
320,Sean Williams,3,0,21,0,7.00,8,2,1,0,0,Zimbabwe vs Netherlands,T20I # 1859
321,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0,Zimbabwe vs Netherlands,T20I # 1859
322,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1,Zimbabwe vs Netherlands,T20I # 1859
323,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0,England vs New Zealand,T20I # 1858
324,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,England vs New Zealand,T20I # 1858
325,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,England vs New Zealand,T20I # 1858
326,Sam Curran,4,0,26,2,6.50,9,0,0,2,0,England vs New Zealand,T20I # 1858
327,Mark Wood,3,0,25,1,8.33,8,2,1,1,0,England vs New Zealand,T20I # 1858
328,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0,England vs New Zealand,T20I # 1858
329,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0,England vs New Zealand,T20I # 1858
330,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0,Afghanistan vs Sri Lanka,T20I # 1856
331,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0,Afghanistan vs Sri Lanka,T20I # 1856
332,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0,Afghanistan vs Sri Lanka,T20I # 1856
333,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,Afghanistan vs Sri Lanka,T20I # 1856
334,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0,Afghanistan vs Sri Lanka,T20I # 1856
335,Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0,Afghanistan vs Sri Lanka,T20I # 1856
336,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0,Afghanistan vs Sri Lanka,T20I # 1856
337,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0,Australia vs Ireland,T20I # 1855
338,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0,Australia vs Ireland,T20I # 1855
339,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0,Australia vs Ireland,T20I # 1855
340,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1,Australia vs Ireland,T20I # 1855
341,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0,Australia vs Ireland,T20I # 1855
342,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0,Australia vs Ireland,T20I # 1855
343,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0,India vs South Africa,T20I # 1853
344,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,India vs South Africa,T20I # 1853
345,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0,India vs South Africa,T20I # 1853
346,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0,India vs South Africa,T20I # 1853
347,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,India vs South Africa,T20I # 1853
348,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0,Netherlands vs Pakistan,T20I # 1852
349,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0,Netherlands vs Pakistan,T20I # 1852
350,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0,Netherlands vs Pakistan,T20I # 1852
351,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0,Netherlands vs Pakistan,T20I # 1852
352,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0,Netherlands vs Pakistan,T20I # 1852
353,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0,Netherlands vs Pakistan,T20I # 1852
354,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0,Bangladesh vs Zimbabwe,T20I # 1851
355,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0,Bangladesh vs Zimbabwe,T20I # 1851
356,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1,Bangladesh vs Zimbabwe,T20I # 1851
357,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0,Bangladesh vs Zimbabwe,T20I # 1851
358,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0,Bangladesh vs Zimbabwe,T20I # 1851
359,Tim Southee,4,1,12,1,3.00,18,0,1,1,0,New Zealand vs Sri Lanka,T20I # 1850
360,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,New Zealand vs Sri Lanka,T20I # 1850
361,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,New Zealand vs Sri Lanka,T20I # 1850
362,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,New Zealand vs Sri Lanka,T20I # 1850
363,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0,New Zealand vs Sri Lanka,T20I # 1850
364,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0,Zimbabwe vs Pakistan,T20I # 1849
365,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0,Zimbabwe vs Pakistan,T20I # 1849
366,Brad Evans,4,0,25,2,6.25,12,2,1,0,0,Zimbabwe vs Pakistan,T20I # 1849
367,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0,Zimbabwe vs Pakistan,T20I # 1849
368,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0,Zimbabwe vs Pakistan,T20I # 1849
369,Sean Williams,2,0,15,0,7.50,1,0,0,1,0,Zimbabwe vs Pakistan,T20I # 1849
370,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0,Zimbabwe vs Pakistan,T20I # 1849
371,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0,India vs Netherlands,T20I # 1848
372,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1,India vs Netherlands,T20I # 1848
373,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0,India vs Netherlands,T20I # 1848
374,Axar Patel,4,0,18,2,4.50,11,0,0,0,0,India vs Netherlands,T20I # 1848
375,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0,India vs Netherlands,T20I # 1848
376,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0,India vs Netherlands,T20I # 1848
377,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0,South Africa vs Bangladesh,T20I # 1847
378,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0,South Africa vs Bangladesh,T20I # 1847
379,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0,South Africa vs Bangladesh,T20I # 1847
380,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0,South Africa vs Bangladesh,T20I # 1847
381,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0,South Africa vs Bangladesh,T20I # 1847
382,Josh Little,3,0,16,2,5.33,11,2,0,2,0,Ireland vs England,T20I # 1846
383,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,Ireland vs England,T20I # 1846
384,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,Ireland vs England,T20I # 1846
385,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,Ireland vs England,T20I # 1846
386,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,Ireland vs England,T20I # 1846
387,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,Ireland vs England,T20I # 1846
388,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,Sri Lanka vs Australia,T20I # 1845
389,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,Sri Lanka vs Australia,T20I # 1845
390,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,Sri Lanka vs Australia,T20I # 1845
391,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,Sri Lanka vs Australia,T20I # 1845
392,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,Sri Lanka vs Australia,T20I # 1845
393,Wanindu Hasaranga,3,0,53,0,17.66,0,3,5,0,0,Sri Lanka vs Australia,T20I # 1845
394,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,Sri Lanka vs Australia,T20I # 1845
395,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,Zimbabwe vs South Africa,T20I # 1844
396,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,Zimbabwe vs South Africa,T20I # 1844
397,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,Zimbabwe vs South Africa,T20I # 1844
398,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,Bangladesh vs Netherlands,T20I # 1843
399,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,Bangladesh vs Netherlands,T20I # 1843
400,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,Bangladesh vs Netherlands,T20I # 1843
401,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,Bangladesh vs Netherlands,T20I # 1843
402,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,Bangladesh vs Netherlands,T20I # 1843
403,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,Bangladesh vs Netherlands,T20I # 1843
404,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,Pakistan vs India,T20I # 1842
405,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,Pakistan vs India,T20I # 1842
406,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,Pakistan vs India,T20I # 1842
407,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,Pakistan vs India,T20I # 1842
408,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,Pakistan vs India,T20I # 1842
409,Josh Little,4,0,45,0,11.25,5,4,1,1,0,Ireland vs Sri Lanka,T20I # 1841
410,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,Ireland vs Sri Lanka,T20I # 1841
411,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,Ireland vs Sri Lanka,T20I # 1841
412,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,Ireland vs Sri Lanka,T20I # 1841
413,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,Ireland vs Sri Lanka,T20I # 1841
414,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,Ireland vs Sri Lanka,T20I # 1841
415,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,Afghanistan vs England,T20I # 1840
416,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,Afghanistan vs England,T20I # 1840
417,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,Afghanistan vs England,T20I # 1840
418,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,Afghanistan vs England,T20I # 1840
419,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,Afghanistan vs England,T20I # 1840
420,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,Afghanistan vs England,T20I # 1840
421,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,New Zealand vs Australia,T20I # 1839
422,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,New Zealand vs Australia,T20I # 1839
423,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,New Zealand vs Australia,T20I # 1839
424,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,New Zealand vs Australia,T20I # 1839
425,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,New Zealand vs Australia,T20I # 1839
426,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,Scotland vs Zimbabwe,T20I # 1838
427,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,Scotland vs Zimbabwe,T20I # 1838
428,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,Scotland vs Zimbabwe,T20I # 1838
429,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,Scotland vs Zimbabwe,T20I # 1838
430,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,Scotland vs Zimbabwe,T20I # 1838
431,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,Scotland vs Zimbabwe,T20I # 1838
432,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,West Indies vs Ireland,T20I # 1837
433,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,West Indies vs Ireland,T20I # 1837
434,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,West Indies vs Ireland,T20I # 1837
435,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,West Indies vs Ireland,T20I # 1837
436,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,West Indies vs Ireland,T20I # 1837
437,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,United Arab Emirates vs Namibia,
438,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,United Arab Emirates vs Namibia,
439,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,United Arab Emirates vs Namibia,
440,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,United Arab Emirates vs Namibia,
441,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,United Arab Emirates vs Namibia,
442,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,United Arab Emirates vs Namibia,
443,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,United Arab Emirates vs Namibia,
444,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,Sri Lanka vs Netherlands,T20I # 1835
445,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,Sri Lanka vs Netherlands,T20I # 1835
446,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,Sri Lanka vs Netherlands,T20I # 1835
447,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,Sri Lanka vs Netherlands,T20I # 1835
448,Wanindu Hasaranga,4,0,28,3,7.00,11,3,0,0,0,Sri Lanka vs Netherlands,T20I # 1835
449,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,Sri Lanka vs Netherlands,T20I # 1835
450,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,Sri Lanka vs Netherlands,T20I # 1835
451,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,West Indies vs Zimbabwe,T20I # 1834
452,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,West Indies vs Zimbabwe,T20I # 1834
453,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,West Indies vs Zimbabwe,T20I # 1834
454,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,West Indies vs Zimbabwe,T20I # 1834
455,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,West Indies vs Zimbabwe,T20I # 1834
456,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,West Indies vs Zimbabwe,T20I # 1834
457,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,Scotland vs Ireland,T20I # 1833
458,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,Scotland vs Ireland,T20I # 1833
459,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,Scotland vs Ireland,T20I # 1833
460,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,Scotland vs Ireland,T20I # 1833
461,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,Scotland vs Ireland,T20I # 1833
462,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,Scotland vs Ireland,T20I # 1833
463,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,Sri Lanka vs United Arab Emirates,
464,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,Sri Lanka vs United Arab Emirates,
465,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,Sri Lanka vs United Arab Emirates,
466,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,Sri Lanka vs United Arab Emirates,
467,Wanindu Hasaranga,4,1,8,3,2.00,17,0,0,0,0,Sri Lanka vs United Arab Emirates,
468,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,Sri Lanka vs United Arab Emirates,
469,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,Namibia vs Netherlands,T20I # 1830
470,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0,Namibia vs Netherlands,T20I # 1830
471,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0,Namibia vs Netherlands,T20I # 1830
472,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0,Namibia vs Netherlands,T20I # 1830
473,JJ Smit,4,0,24,2,6.00,9,2,0,0,0,Namibia vs Netherlands,T20I # 1830
474,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0,Namibia vs Netherlands,T20I # 1830
475,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1,Namibia vs Netherlands,T20I # 1830
476,Richard Ngarava,4,0,22,2,5.50,13,3,0,0,0,Zimbabwe vs Ireland,T20I # 1828
477,Tendai Chatara,4,0,22,2,5.50,13,1,1,2,0,Zimbabwe vs Ireland,T20I # 1828
478,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,Zimbabwe vs Ireland,T20I # 1828
479,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,Zimbabwe vs Ireland,T20I # 1828
480,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,Zimbabwe vs Ireland,T20I # 1828
481,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,Zimbabwe vs Ireland,T20I # 1828
482,Mark Watt,4,0,12,3,3.00,16,1,0,1,0,Scotland vs West Indies,T20I # 1826
483,Brad Wheal,4,0,32,2,8.00,10,4,1,0,0,Scotland vs West Indies,T20I # 1826
484,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,Scotland vs West Indies,T20I # 1826
485,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,Scotland vs West Indies,T20I # 1826
486,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,Scotland vs West Indies,T20I # 1826
487,Junaid Siddique,4,0,24,3,6.00,10,2,0,1,0,United Arab Emirates vs Netherlands,
488,Basil Hameed,1,0,7,1,7.00,4,0,1,0,0,United Arab Emirates vs Netherlands,
489,Aayan Afzal Khan,3,0,15,1,5.00,8,1,0,0,0,United Arab Emirates vs Netherlands,
490,Karthik Meiyappan,4,0,22,1,5.50,11,2,0,0,0,United Arab Emirates vs Netherlands,
491,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,United Arab Emirates vs Netherlands,
492,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,United Arab Emirates vs Netherlands,
493,Kashif Daud,1,0,5,0,5.00,1,0,0,0,0,United Arab Emirates vs Netherlands,
494,Gerhard Erasmus,1,0,8,0,8.00,1,1,0,0,0,Namibia vs Sri Lanka,T20I # 1823
495,David Wiese,4,0,16,2,4.00,13,1,0,0,0,Namibia vs Sri Lanka,T20I # 1823
496,Bernard Scholtz,4,0,18,2,4.50,10,1,0,0,0,Namibia vs Sri Lanka,T20I # 1823
497,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,Namibia vs Sri Lanka,T20I # 1823
498,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,Namibia vs Sri Lanka,T20I # 1823
499,Jan Frylinck,4,0,26,2,6.50,10,0,2,1,0,Namibia vs Sri Lanka,T20I # 1823
