index,batting_position,BATTING,dismissal,R,B,M,4s,6s,SR,teams_country,teams_playing,match_id
326,1,George Munsey,not out ,66,53,106,9,0,124.52,Scotland,Scotland vs West Indies,T20I # 1826
327,2,Michael Jones,out,20,17,36,3,0,117.64,Scotland,Scotland vs West Indies,T20I # 1826
328,3,Matthew Cross,out,3,5,10,0,0,60,Scotland,Scotland vs West Indies,T20I # 1826
329,4,Richie Berrington(c),out,16,14,21,0,1,114.28,Scotland,Scotland vs West Indies,T20I # 1826
330,5,Calum MacLeod,out,23,14,15,4,0,164.28,Scotland,Scotland vs West Indies,T20I # 1826
331,6,Michael Leask,out,4,6,8,0,0,66.66,Scotland,Scotland vs West Indies,T20I # 1826
332,7,Chris Greaves,not out ,16,11,19,2,0,145.45,Scotland,Scotland vs West Indies,T20I # 1826
333,1,Chirag Suri,out,12,20,28,1,0,60,United Arab Emirates,United Arab Emirates vs Netherlands,
334,2,Muhammad Waseem,out,41,47,71,1,2,87.23,United Arab Emirates,United Arab Emirates vs Netherlands,
335,3,Kashif Daud,out,15,14,19,0,1,107.14,United Arab Emirates,United Arab Emirates vs Netherlands,
336,4,Vriitya Aravind,out,18,21,37,0,0,85.71,United Arab Emirates,United Arab Emirates vs Netherlands,
337,5,Zawar Farid,out,2,4,8,0,0,50,United Arab Emirates,United Arab Emirates vs Netherlands,
338,6,Basil Hameed,out,4,4,7,1,0,100,United Arab Emirates,United Arab Emirates vs Netherlands,
339,7,Chundangapoyil Rizwan(c),out,1,2,7,0,0,50,United Arab Emirates,United Arab Emirates vs Netherlands,
340,8,Aayan Afzal Khan,out,5,7,8,0,0,71.42,United Arab Emirates,United Arab Emirates vs Netherlands,
341,9,Karthik Meiyappan,not out ,0,0,4,0,0,-,United Arab Emirates,United Arab Emirates vs Netherlands,
342,10,Junaid Siddique,not out ,0,1,1,0,0,0,United Arab Emirates,United Arab Emirates vs Netherlands,
343,1,Michael van Lingen,out,3,6,7,0,0,50,Namibia,Namibia vs Sri Lanka,T20I # 1823
344,2,Divan la Cock,out,9,9,15,1,0,100,Namibia,Namibia vs Sri Lanka,T20I # 1823
345,3,Jan Nicol Loftie-Eaton,out,20,12,18,1,2,166.66,Namibia,Namibia vs Sri Lanka,T20I # 1823
346,4,Stephan Baard,out,26,24,49,2,0,108.33,Namibia,Namibia vs Sri Lanka,T20I # 1823
347,5,Gerhard Erasmus(c),out,20,24,30,0,0,83.33,Namibia,Namibia vs Sri Lanka,T20I # 1823
348,6,Jan Frylinck,out,44,28,44,4,0,157.14,Namibia,Namibia vs Sri Lanka,T20I # 1823
349,7,David Wiese,out,0,1,4,0,0,0,Namibia,Namibia vs Sri Lanka,T20I # 1823
350,8,JJ Smit,not out ,31,16,29,2,2,193.75,Namibia,Namibia vs Sri Lanka,T20I # 1823
351,1,Jos Buttler(c),out,26,17,33,3,1,152.94,Pakistan,Pakistan vs England,T20I # 1879
352,2,Alex Hales,out,1,2,6,0,0,50,Pakistan,Pakistan vs England,T20I # 1879
353,3,Phil Salt,out,10,9,16,2,0,111.11,Pakistan,Pakistan vs England,T20I # 1879
354,4,Ben Stokes,not out ,52,49,81,5,1,106.12,Pakistan,Pakistan vs England,T20I # 1879
355,5,Harry Brook,out,20,23,36,1,0,86.95,Pakistan,Pakistan vs England,T20I # 1879
356,6,Moeen Ali,out,19,13,30,3,0,146.15,Pakistan,Pakistan vs England,T20I # 1879
357,7,Liam Livingstone,not out ,1,1,3,0,0,100,Pakistan,Pakistan vs England,T20I # 1879
358,1,Jos Buttler(c),not out ,80,49,74,9,3,163.26,India,India vs England,T20I # 1878
359,2,Alex Hales,not out ,86,47,74,4,7,182.97,India,India vs England,T20I # 1878
360,1,Mohammad Rizwan,out,57,43,77,5,0,132.55,New Zealand,New Zealand vs Pakistan,T20I # 1877
361,2,Babar Azam(c),out,53,42,56,7,0,126.19,New Zealand,New Zealand vs Pakistan,T20I # 1877
362,3,Mohammad Haris,out,30,26,32,2,1,115.38,New Zealand,New Zealand vs Pakistan,T20I # 1877
363,4,Shan Masood,not out ,3,4,13,0,0,75,New Zealand,New Zealand vs Pakistan,T20I # 1877
364,5,Iftikhar Ahmed,not out ,0,0,3,0,0,-,New Zealand,New Zealand vs Pakistan,T20I # 1877
365,1,Wessly Madhevere,out,0,1,1,0,0,0,India,India vs Zimbabwe,T20I # 1873
366,2,Craig Ervine(c),out,13,15,37,2,0,86.66,India,India vs Zimbabwe,T20I # 1873
367,3,Regis Chakabva,out,0,6,9,0,0,0,India,India vs Zimbabwe,T20I # 1873
368,4,Sean Williams,out,11,18,22,0,1,61.11,India,India vs Zimbabwe,T20I # 1873
369,5,Sikandar Raza,out,34,24,53,3,0,141.66,India,India vs Zimbabwe,T20I # 1873
370,6,Tony Munyonga,out,5,4,6,1,0,125,India,India vs Zimbabwe,T20I # 1873
371,7,Ryan Burl,out,35,22,27,5,1,159.09,India,India vs Zimbabwe,T20I # 1873
372,8,Wellington Masakadza,out,1,7,8,0,0,14.28,India,India vs Zimbabwe,T20I # 1873
373,9,Richard Ngarava,out,1,2,4,0,0,50,India,India vs Zimbabwe,T20I # 1873
374,10,Tendai Chatara,out,4,4,11,1,0,100,India,India vs Zimbabwe,T20I # 1873
375,11,Blessing Muzarabani,not out ,0,2,5,0,0,0,India,India vs Zimbabwe,T20I # 1873
376,1,Mohammad Rizwan,out,32,32,51,2,1,100,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
377,2,Babar Azam(c),out,25,33,46,2,0,75.75,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
378,3,Mohammad Nawaz,out,4,11,27,0,0,36.36,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
379,4,Mohammad Haris,out,31,18,31,1,2,172.22,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
380,5,Shan Masood,not out ,24,14,20,2,0,171.42,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
381,6,Iftikhar Ahmed,out,1,3,8,0,0,33.33,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
382,7,Shadab Khan,not out ,0,0,2,0,0,-,Bangladesh,Bangladesh vs Pakistan,T20I # 1872
383,1,Quinton de Kock,out,13,13,12,1,1,100,Netherlands,Netherlands vs South Africa,T20I # 1871
384,2,Temba Bavuma(c),out,20,20,26,2,0,100,Netherlands,Netherlands vs South Africa,T20I # 1871
385,3,Rilee Rossouw,out,25,19,29,2,0,131.57,Netherlands,Netherlands vs South Africa,T20I # 1871
386,4,Aiden Markram,out,17,13,30,2,0,130.76,Netherlands,Netherlands vs South Africa,T20I # 1871
387,5,David Miller,out,17,17,28,1,0,100,Netherlands,Netherlands vs South Africa,T20I # 1871
388,6,Heinrich Klaasen,out,21,18,27,0,1,116.66,Netherlands,Netherlands vs South Africa,T20I # 1871
389,7,Wayne Parnell,out,0,2,3,0,0,0,Netherlands,Netherlands vs South Africa,T20I # 1871
390,8,Keshav Maharaj,out,13,12,20,0,1,108.33,Netherlands,Netherlands vs South Africa,T20I # 1871
391,9,Kagiso Rabada,not out ,9,8,13,0,0,112.5,Netherlands,Netherlands vs South Africa,T20I # 1871
392,10,Anrich Nortje,not out ,4,1,2,1,0,400,Netherlands,Netherlands vs South Africa,T20I # 1871
393,1,Jos Buttler(c),out,28,23,35,2,1,121.73,Sri Lanka,Sri Lanka vs England,T20I # 1867
394,2,Alex Hales,out,47,30,42,7,1,156.66,Sri Lanka,Sri Lanka vs England,T20I # 1867
395,3,Ben Stokes,not out ,42,36,59,2,0,116.66,Sri Lanka,Sri Lanka vs England,T20I # 1867
396,4,Harry Brook,out,4,5,9,0,0,80,Sri Lanka,Sri Lanka vs England,T20I # 1867
397,5,Liam Livingstone,out,4,6,10,0,0,66.66,Sri Lanka,Sri Lanka vs England,T20I # 1867
398,6,Moeen Ali,out,1,5,8,0,0,20,Sri Lanka,Sri Lanka vs England,T20I # 1867
399,7,Sam Curran,out,6,11,16,0,0,54.54,Sri Lanka,Sri Lanka vs England,T20I # 1867
400,8,Chris Woakes,not out ,5,3,11,1,0,166.66,Sri Lanka,Sri Lanka vs England,T20I # 1867
401,1,Rahmanullah Gurbaz,out,30,17,31,2,2,176.47,Australia,Australia vs Afghanistan,T20I # 1864
402,2,Usman Ghani,out,2,7,16,0,0,28.57,Australia,Australia vs Afghanistan,T20I # 1864
403,3,Ibrahim Zadran,out,26,33,55,2,0,78.78,Australia,Australia vs Afghanistan,T20I # 1864
404,4,Gulbadin Naib,out,39,23,38,3,2,169.56,Australia,Australia vs Afghanistan,T20I # 1864
405,5,Mohammad Nabi(c),out,1,2,10,0,0,50,Australia,Australia vs Afghanistan,T20I # 1864
406,6,Najibullah Zadran,out,0,2,3,0,0,0,Australia,Australia vs Afghanistan,T20I # 1864
407,7,Darwish Rasooli,out,15,13,28,1,0,115.38,Australia,Australia vs Afghanistan,T20I # 1864
408,8,Rashid Khan,not out ,48,23,27,3,4,208.69,Australia,Australia vs Afghanistan,T20I # 1864
409,9,Naveen-ul-Haq,not out ,0,0,4,0,0,-,Australia,Australia vs Afghanistan,T20I # 1864
410,1,Paul Stirling,out,37,27,39,3,1,137.03,New Zealand,New Zealand vs Ireland,T20I # 1862
411,2,Andy Balbirnie(c),out,30,25,36,0,3,120,New Zealand,New Zealand vs Ireland,T20I # 1862
412,3,Lorcan Tucker,out,13,14,30,0,0,92.85,New Zealand,New Zealand vs Ireland,T20I # 1862
413,4,Harry Tector,out,2,7,4,0,0,28.57,New Zealand,New Zealand vs Ireland,T20I # 1862
414,5,Gareth Delany,out,10,8,12,2,0,125,New Zealand,New Zealand vs Ireland,T20I # 1862
415,6,George Dockrell,out,23,15,24,3,0,153.33,New Zealand,New Zealand vs Ireland,T20I # 1862
416,7,Curtis Campher,out,7,7,10,1,0,100,New Zealand,New Zealand vs Ireland,T20I # 1862
417,8,Fionn Hand,out,5,3,7,1,0,166.66,New Zealand,New Zealand vs Ireland,T20I # 1862
418,9,Mark Adair,out,4,5,9,0,0,80,New Zealand,New Zealand vs Ireland,T20I # 1862
419,10,Barry McCarthy,not out ,6,5,10,0,0,120,New Zealand,New Zealand vs Ireland,T20I # 1862
420,11,Josh Little,not out ,8,4,3,0,1,200,New Zealand,New Zealand vs Ireland,T20I # 1862
421,1,Temba Bavuma(c),out,36,19,39,4,1,189.47,Pakistan,Pakistan vs South Africa,T20I # 1861
422,2,Quinton de Kock,out,0,5,6,0,0,0,Pakistan,Pakistan vs South Africa,T20I # 1861
423,3,Rilee Rossouw,out,7,6,10,0,1,116.66,Pakistan,Pakistan vs South Africa,T20I # 1861
424,4,Aiden Markram,out,20,14,28,4,0,142.85,Pakistan,Pakistan vs South Africa,T20I # 1861
425,5,Heinrich Klaasen,out,15,9,18,3,0,166.66,Pakistan,Pakistan vs South Africa,T20I # 1861
426,6,Tristan Stubbs,out,18,18,28,0,1,100,Pakistan,Pakistan vs South Africa,T20I # 1861
427,7,Wayne Parnell,out,3,4,9,0,0,75,Pakistan,Pakistan vs South Africa,T20I # 1861
428,8,Kagiso Rabada,out,1,2,11,0,0,50,Pakistan,Pakistan vs South Africa,T20I # 1861
429,9,Anrich Nortje,out,1,5,8,0,0,20,Pakistan,Pakistan vs South Africa,T20I # 1861
430,10,Lungi Ngidi,not out ,4,1,5,1,0,400,Pakistan,Pakistan vs South Africa,T20I # 1861
431,11,Tabraiz Shamsi,not out ,1,1,3,0,0,100,Pakistan,Pakistan vs South Africa,T20I # 1861
432,1,Najmul Hossain Shanto,out,21,25,50,1,1,84,India,India vs Bangladesh,T20I # 1860
433,2,Litton Das,out,60,27,40,7,3,222.22,India,India vs Bangladesh,T20I # 1860
434,3,Shakib Al Hasan(c),out,13,12,24,2,0,108.33,India,India vs Bangladesh,T20I # 1860
435,4,Afif Hossain,out,3,5,12,0,0,60,India,India vs Bangladesh,T20I # 1860
436,5,Yasir Ali,out,1,3,8,0,0,33.33,India,India vs Bangladesh,T20I # 1860
437,6,Nurul Hasan,not out ,25,14,29,2,1,178.57,India,India vs Bangladesh,T20I # 1860
438,7,Mosaddek Hossain,out,6,3,4,0,1,200,India,India vs Bangladesh,T20I # 1860
439,8,Taskin Ahmed,not out ,12,7,22,1,1,171.42,India,India vs Bangladesh,T20I # 1860
440,1,Stephan Myburgh,out,8,7,15,0,1,114.28,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
441,2,Max O'Dowd,out,52,47,70,8,1,110.63,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
442,3,Tom Cooper,out,32,29,42,2,1,110.34,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
443,4,Colin Ackermann,out,1,5,6,0,0,20,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
444,5,Bas de Leede,not out ,12,12,21,2,0,100,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
445,6,Scott Edwards(c),out,5,6,8,1,0,83.33,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
446,7,Roelof van der Merwe,not out ,0,3,6,0,0,0,Zimbabwe,Zimbabwe vs Netherlands,T20I # 1859
447,1,Finn Allen,out,16,11,25,0,1,145.45,England,England vs New Zealand,T20I # 1858
448,2,Devon Conway,out,3,9,12,0,0,33.33,England,England vs New Zealand,T20I # 1858
449,3,Kane Williamson(c),out,40,40,57,3,0,100,England,England vs New Zealand,T20I # 1858
450,4,Glenn Phillips,out,62,36,64,4,3,172.22,England,England vs New Zealand,T20I # 1858
451,5,James Neesham,out,6,3,7,1,0,200,England,England vs New Zealand,T20I # 1858
452,6,Daryl Mitchell,out,3,5,10,0,0,60,England,England vs New Zealand,T20I # 1858
453,7,Mitchell Santner,not out ,16,10,19,0,1,160,England,England vs New Zealand,T20I # 1858
454,8,Ish Sodhi,not out ,6,6,4,0,0,100,England,England vs New Zealand,T20I # 1858
455,1,Pathum Nissanka,out,10,10,10,2,0,100,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
456,2,Kusal Mendis,out,25,27,33,2,1,92.59,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
457,3,Dhananjaya de Silva,not out ,66,42,78,6,2,157.14,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
458,4,Charith Asalanka,out,19,18,27,1,0,105.55,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
459,5,Bhanuka Rajapaksa,out,18,14,24,3,0,128.57,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
460,6,Dasun Shanaka(c),not out ,0,0,4,0,0,-,Afghanistan,Afghanistan vs Sri Lanka,T20I # 1856
461,1,Paul Stirling,out,11,7,11,1,1,157.14,Australia,Australia vs Ireland,T20I # 1855
462,2,Andy Balbirnie(c),out,6,7,11,0,1,85.71,Australia,Australia vs Ireland,T20I # 1855
463,3,Lorcan Tucker,not out ,71,48,81,9,1,147.91,Australia,Australia vs Ireland,T20I # 1855
464,4,Harry Tector,out,6,4,3,1,0,150,Australia,Australia vs Ireland,T20I # 1855
465,5,Curtis Campher,out,0,1,5,0,0,0,Australia,Australia vs Ireland,T20I # 1855
466,6,George Dockrell,out,0,4,4,0,0,0,Australia,Australia vs Ireland,T20I # 1855
467,7,Gareth Delany,out,14,10,27,2,0,140,Australia,Australia vs Ireland,T20I # 1855
468,8,Mark Adair,out,11,11,13,1,0,100,Australia,Australia vs Ireland,T20I # 1855
469,9,Fionn Hand,out,6,6,10,1,0,100,Australia,Australia vs Ireland,T20I # 1855
470,10,Barry McCarthy,out,3,7,16,0,0,42.85,Australia,Australia vs Ireland,T20I # 1855
471,11,Josh Little,out,1,5,6,0,0,20,Australia,Australia vs Ireland,T20I # 1855
472,1,Quinton de Kock,out,1,3,7,0,0,33.33,India,India vs South Africa,T20I # 1853
473,2,Temba Bavuma(c),out,10,15,30,0,1,66.66,India,India vs South Africa,T20I # 1853
474,3,Rilee Rossouw,out,0,2,4,0,0,0,India,India vs South Africa,T20I # 1853
475,4,Aiden Markram,out,52,41,72,6,1,126.82,India,India vs South Africa,T20I # 1853
476,5,David Miller,not out ,59,46,78,4,3,128.26,India,India vs South Africa,T20I # 1853
477,6,Tristan Stubbs,out,6,6,15,1,0,100,India,India vs South Africa,T20I # 1853
478,7,Wayne Parnell,not out ,2,5,11,0,0,40,India,India vs South Africa,T20I # 1853
479,1,Mohammad Rizwan,out,49,39,66,5,0,125.64,Netherlands,Netherlands vs Pakistan,T20I # 1852
480,2,Babar Azam(c),out,4,5,10,1,0,80,Netherlands,Netherlands vs Pakistan,T20I # 1852
481,3,Fakhar Zaman,out,20,16,27,3,0,125,Netherlands,Netherlands vs Pakistan,T20I # 1852
482,4,Shan Masood,out,12,16,35,0,0,75,Netherlands,Netherlands vs Pakistan,T20I # 1852
483,5,Iftikhar Ahmed,not out ,6,5,10,0,0,120,Netherlands,Netherlands vs Pakistan,T20I # 1852
484,6,Shadab Khan,not out ,4,2,2,1,0,200,Netherlands,Netherlands vs Pakistan,T20I # 1852
485,1,Wessly Madhevere,out,4,3,1,1,0,133.33,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
486,2,Craig Ervine(c),out,8,7,16,2,0,114.28,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
487,3,Milton Shumba,out,8,15,24,1,0,53.33,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
488,4,Sean Williams,out,64,42,75,8,0,152.38,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
489,5,Sikandar Raza,out,0,3,4,0,0,0,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
490,6,Regis Chakabva,out,15,19,24,0,0,78.94,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
491,7,Ryan Burl,not out ,27,25,50,2,1,108,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
492,8,Brad Evans,out,2,2,5,0,0,100,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
493,9,Richard Ngarava,out,6,3,6,0,1,200,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
494,10,Blessing Muzarabani,not out ,0,2,6,0,0,0,Bangladesh,Bangladesh vs Zimbabwe,T20I # 1851
495,1,Pathum Nissanka,out,0,5,5,0,0,0,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
496,2,Kusal Mendis,out,4,3,9,1,0,133.33,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
497,3,Dhananjaya de Silva,out,0,3,8,0,0,0,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
498,4,Charith Asalanka,out,4,8,11,0,0,50,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
499,5,Bhanuka Rajapaksa,out,34,22,38,3,2,154.54,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
500,6,Chamika Karunaratne,out,3,8,13,0,0,37.5,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
501,7,Dasun Shanaka(c),out,35,32,49,4,1,109.37,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
502,8,Wanindu Hasaranga,out,4,6,6,1,0,66.66,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
503,9,Maheesh Theekshana,out,0,3,5,0,0,0,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
504,10,Kasun Rajitha,not out ,8,21,30,0,0,38.09,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
505,11,Lahiru Kumara,out,4,5,10,1,0,80,New Zealand,New Zealand vs Sri Lanka,T20I # 1850
506,1,Mohammad Rizwan,out,14,16,23,1,1,87.5,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
507,2,Babar Azam(c),out,4,9,17,1,0,44.44,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
508,3,Shan Masood,out,44,38,61,3,0,115.78,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
509,4,Iftikhar Ahmed,out,5,10,16,1,0,50,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
510,5,Shadab Khan,out,17,14,27,0,1,121.42,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
511,6,Haider Ali,out,0,1,3,0,0,0,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
512,7,Mohammad Nawaz,out,22,18,36,1,1,122.22,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
513,8,Mohammad Wasim,not out ,12,13,29,2,0,92.3,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
514,9,Shaheen Shah Afridi,out,1,1,3,0,0,100,Zimbabwe,Zimbabwe vs Pakistan,T20I # 1849
515,1,Vikramjit Singh,out,1,9,13,0,0,11.11,India,India vs Netherlands,T20I # 1848
516,2,Max O'Dowd,out,16,10,22,3,0,160,India,India vs Netherlands,T20I # 1848
517,3,Bas de Leede,out,16,23,27,0,0,69.56,India,India vs Netherlands,T20I # 1848
518,4,Colin Ackermann,out,17,21,31,1,0,80.95,India,India vs Netherlands,T20I # 1848
519,5,Tom Cooper,out,9,12,12,0,0,75,India,India vs Netherlands,T20I # 1848
520,6,Scott Edwards(c),out,5,8,21,0,0,62.5,India,India vs Netherlands,T20I # 1848
521,7,Tim Pringle,out,20,15,14,1,1,133.33,India,India vs Netherlands,T20I # 1848
522,8,Logan van Beek,out,3,5,11,0,0,60,India,India vs Netherlands,T20I # 1848
523,9,Shariz Ahmad,not out ,16,11,18,2,0,145.45,India,India vs Netherlands,T20I # 1848
524,10,Fred Klaassen,out,0,1,3,0,0,0,India,India vs Netherlands,T20I # 1848
525,11,Paul van Meekeren,not out ,14,6,9,3,0,233.33,India,India vs Netherlands,T20I # 1848
526,1,Najmul Hossain Shanto,out,9,9,15,1,0,100,South Africa,South Africa vs Bangladesh,T20I # 1847
527,2,Soumya Sarkar,out,15,6,11,0,2,250,South Africa,South Africa vs Bangladesh,T20I # 1847
528,3,Litton Das,out,34,31,57,1,1,109.67,South Africa,South Africa vs Bangladesh,T20I # 1847
529,4,Shakib Al Hasan(c),out,1,4,11,0,0,25,South Africa,South Africa vs Bangladesh,T20I # 1847
530,5,Afif Hossain,out,1,5,8,0,0,20,South Africa,South Africa vs Bangladesh,T20I # 1847
531,6,Mehidy Hasan Miraz,out,11,13,17,0,0,84.61,South Africa,South Africa vs Bangladesh,T20I # 1847
532,7,Mosaddek Hossain,out,0,3,4,0,0,0,South Africa,South Africa vs Bangladesh,T20I # 1847
533,8,Nurul Hasan,out,2,6,7,0,0,33.33,South Africa,South Africa vs Bangladesh,T20I # 1847
534,9,Taskin Ahmed,out,10,17,22,1,0,58.82,South Africa,South Africa vs Bangladesh,T20I # 1847
535,10,Hasan Mahmud,out,0,2,7,0,0,0,South Africa,South Africa vs Bangladesh,T20I # 1847
536,11,Mustafizur Rahman,not out ,9,3,8,0,1,300,South Africa,South Africa vs Bangladesh,T20I # 1847
537,1,Jos Buttler(c),out,0,2,3,0,0,0,Ireland,Ireland vs England,T20I # 1846
538,2,Alex Hales,out,7,5,14,1,0,140,Ireland,Ireland vs England,T20I # 1846
539,3,Dawid Malan,out,35,37,66,2,0,94.59,Ireland,Ireland vs England,T20I # 1846
540,4,Ben Stokes,out,6,8,14,0,0,75,Ireland,Ireland vs England,T20I # 1846
541,5,Harry Brook,out,18,21,30,1,0,85.71,Ireland,Ireland vs England,T20I # 1846
542,6,Moeen Ali,not out ,24,12,18,3,1,200,Ireland,Ireland vs England,T20I # 1846
543,7,Liam Livingstone,not out ,1,2,7,0,0,50,Ireland,Ireland vs England,T20I # 1846
544,1,David Warner,out,11,10,26,0,0,110,Sri Lanka,Sri Lanka vs Australia,T20I # 1845
545,2,Aaron Finch(c),not out ,31,42,89,0,1,73.8,Sri Lanka,Sri Lanka vs Australia,T20I # 1845
546,3,Mitchell Marsh,out,17,17,20,1,1,100,Sri Lanka,Sri Lanka vs Australia,T20I # 1845
547,4,Glenn Maxwell,out,23,12,21,2,2,191.66,Sri Lanka,Sri Lanka vs Australia,T20I # 1845
548,5,Marcus Stoinis,not out ,59,18,22,4,6,327.77,Sri Lanka,Sri Lanka vs Australia,T20I # 1845
549,1,Quinton de Kock,not out ,47,18,26,8,1,261.11,Zimbabwe,Zimbabwe vs South Africa,T20I # 1844
550,2,Temba Bavuma(c),not out ,2,2,26,0,0,100,Zimbabwe,Zimbabwe vs South Africa,T20I # 1844
551,1,Vikramjit Singh,out,0,1,4,0,0,0,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
552,2,Max O'Dowd,out,8,8,21,0,1,100,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
553,3,Bas de Leede,out,0,1,2,0,0,0,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
554,4,Colin Ackermann,out,62,48,77,6,2,129.16,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
555,5,Tom Cooper,out,0,0,2,0,0,-,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
556,6,Scott Edwards(c),out,16,24,33,1,0,66.66,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
557,7,Tim Pringle,out,1,6,5,0,0,16.66,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
558,8,Logan van Beek,out,2,5,9,0,0,40,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
559,9,Shariz Ahmad,out,9,8,9,1,0,112.5,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
560,10,Fred Klaassen,not out ,7,6,20,0,0,116.66,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
561,11,Paul van Meekeren,out,24,14,16,3,1,171.42,Bangladesh,Bangladesh vs Netherlands,T20I # 1843
562,1,KL Rahul,out,4,8,13,0,0,50,Pakistan,Pakistan vs India,T20I # 1842
563,2,Rohit Sharma(c),out,4,7,20,0,0,57.14,Pakistan,Pakistan vs India,T20I # 1842
564,3,Virat Kohli,not out ,82,53,98,6,4,154.71,Pakistan,Pakistan vs India,T20I # 1842
565,4,Suryakumar Yadav,out,15,10,11,2,0,150,Pakistan,Pakistan vs India,T20I # 1842
566,5,Axar Patel,out,2,3,7,0,0,66.66,Pakistan,Pakistan vs India,T20I # 1842
567,6,Hardik Pandya,out,40,37,61,1,2,108.1,Pakistan,Pakistan vs India,T20I # 1842
568,7,Dinesh Karthik,out,1,2,10,0,0,50,Pakistan,Pakistan vs India,T20I # 1842
569,8,Ravichandran Ashwin,not out ,1,1,2,0,0,100,Pakistan,Pakistan vs India,T20I # 1842
570,1,Kusal Mendis,not out ,68,43,68,5,3,158.13,Ireland,Ireland vs Sri Lanka,T20I # 1841
571,2,Dhananjaya de Silva,out,31,25,35,2,1,124,Ireland,Ireland vs Sri Lanka,T20I # 1841
572,3,Charith Asalanka,not out ,31,22,33,2,0,140.9,Ireland,Ireland vs Sri Lanka,T20I # 1841
573,1,Jos Buttler(c),out,18,18,25,3,0,100,Afghanistan,Afghanistan vs England,T20I # 1840
574,2,Alex Hales,out,19,20,41,0,1,95,Afghanistan,Afghanistan vs England,T20I # 1840
575,3,Dawid Malan,out,18,30,40,0,0,60,Afghanistan,Afghanistan vs England,T20I # 1840
576,4,Ben Stokes,out,2,4,11,0,0,50,Afghanistan,Afghanistan vs England,T20I # 1840
577,5,Liam Livingstone,not out ,29,21,34,3,0,138.09,Afghanistan,Afghanistan vs England,T20I # 1840
578,6,Harry Brook,out,7,6,9,0,0,116.66,Afghanistan,Afghanistan vs England,T20I # 1840
579,7,Moeen Ali,not out ,8,10,13,0,0,80,Afghanistan,Afghanistan vs England,T20I # 1840
580,1,David Warner,out,5,6,7,1,0,83.33,New Zealand,New Zealand vs Australia,T20I # 1839
581,2,Aaron Finch(c),out,13,11,20,1,1,118.18,New Zealand,New Zealand vs Australia,T20I # 1839
582,3,Mitchell Marsh,out,16,12,17,2,1,133.33,New Zealand,New Zealand vs Australia,T20I # 1839
583,4,Glenn Maxwell,out,28,20,47,3,1,140,New Zealand,New Zealand vs Australia,T20I # 1839
