Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
FC,18,28,2328,1206,44,4/33,7/54,27.4,3.1,52.9,1,0,0,Shoriful Islam Career Stats,Bangladesh,Left arm Medium fast,Bowler
List A,68,68,3191,2930,107,4/21,4/21,27.38,5.5,29.8,5,0,0,Shoriful Islam Career Stats,Bangladesh,Left arm Medium fast,Bowler
T20s,85,83,1680,2394,97,4/34,4/34,24.68,8.55,17.3,1,0,0,Shoriful Islam Career Stats,Bangladesh,Left arm Medium fast,Bowler
ODIs,9,9,438,444,9,3/43,3/43,49.33,6.08,48.6,0,0,0,Brandon Glover Career Stats,Netherlands,Right arm Fast,Bowler
T20Is,24,24,479,541,37,4/12,4/12,14.62,6.77,12.9,2,0,0,Brandon Glover Career Stats,Netherlands,Right arm Fast,Bowler
FC,10,16,1320,827,24,4/83,5/104,34.45,3.75,55.0,1,0,0,Brandon Glover Career Stats,Netherlands,Right arm Fast,Bowler
List A,19,19,817,879,16,3/43,3/43,54.93,6.45,51.0,0,0,0,Brandon Glover Career Stats,Netherlands,Right arm Fast,Bowler
T20s,46,45,817,1115,53,4/12,4/12,21.03,8.18,15.4,2,0,0,Brandon Glover Career Stats,Netherlands,Right arm Fast,Bowler
Tests,78,149,17417,8717,317,6/30,10/80,27.49,3.0,54.9,18,10,1,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
ODIs,114,113,6180,5146,211,7/34,7/34,24.38,4.99,29.2,10,6,0,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
T20Is,55,55,1257,1647,74,4/13,4/13,22.25,7.86,16.9,2,0,0,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
FC,113,206,23453,11634,433,6/30,10/80,26.86,2.97,54.1,21,18,1,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
List A,143,140,7619,6375,253,7/34,7/34,25.19,5.02,30.1,12,6,0,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
T20s,194,194,4326,5817,225,4/13,4/13,25.85,8.06,19.2,3,0,0,Trent Boult Career Stats,Zealand,Left arm Fast medium,Bowler
Tests,1,1,66,47,0,-,-,-,4.27,-,0,0,0,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
ODIs,65,64,3300,3124,99,5/45,5/45,31.55,5.68,33.3,2,1,0,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
T20Is,33,33,692,903,44,5/21,5/21,20.52,7.82,15.7,1,1,0,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
FC,46,75,7297,4047,165,7/34,12/78,24.52,3.32,44.2,6,11,1,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
List A,103,102,5190,4764,170,6/27,6/27,28.02,5.5,30.5,5,4,0,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
T20s,136,135,2835,3742,151,5/21,5/21,24.78,7.91,18.7,5,1,0,Lockie Ferguson Career Stats,Zealand,Right hand Bat,Right arm Fast
Tests,16,26,2696,1456,45,5/64,7/104,32.35,3.24,59.9,1,1,0,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
ODIs,34,34,1527,1553,43,4/50,4/50,36.11,6.1,35.5,2,0,0,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
T20Is,18,18,396,615,17,3/29,3/29,36.17,9.31,23.2,0,0,0,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
FC,65,103,9215,5815,179,8/31,12/180,32.48,3.78,51.4,5,11,1,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
List A,73,72,3077,3140,88,5/37,5/37,35.68,6.12,34.9,2,1,0,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
T20s,71,70,1447,1932,98,5/22,5/22,19.71,8.01,14.7,5,1,0,Kasun Rajitha Career Stats,Lanka,Right arm Medium fast,Bowler
Tests,26,42,4655,2995,74,6/122,7/135,40.47,3.86,62.9,6,1,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
ODIs,28,28,1131,1223,37,3/22,3/22,33.05,6.48,30.5,0,0,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
T20Is,26,25,544,755,33,3/7,3/7,22.87,8.32,16.4,0,0,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
FC,47,79,7520,4676,136,6/122,7/135,34.38,3.73,55.2,10,1,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
List A,56,54,2151,2037,81,4/21,4/21,25.14,5.68,26.5,3,0,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
T20s,54,53,1094,1505,69,4/17,4/17,21.81,8.25,15.8,2,0,0,Lahiru Kumara Career Stats,Lanka,Right arm Fast,Bowler
ODIs,12,11,400,417,13,5/43,5/43,32.07,6.25,30.7,0,1,0,Shariz Ahmad Career Stats,Netherlands,Legbreak Googly,Bowler
T20Is,9,9,132,154,7,2/15,2/15,22.0,7.0,18.8,0,0,0,Shariz Ahmad Career Stats,Netherlands,Legbreak Googly,Bowler
List A,12,11,400,417,13,5/43,5/43,32.07,6.25,30.7,0,1,0,Shariz Ahmad Career Stats,Netherlands,Legbreak Googly,Bowler
T20s,9,9,132,154,7,2/15,2/15,22.0,7.0,18.8,0,0,0,Shariz Ahmad Career Stats,Netherlands,Legbreak Googly,Bowler
Tests,41,71,10098,5263,159,7/58,12/117,33.1,3.12,63.5,6,9,2,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
ODIs,94,91,4413,3566,102,4/25,4/25,34.96,4.84,43.2,5,0,0,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
T20Is,25,23,348,478,13,4/12,4/12,36.76,8.24,26.7,1,0,0,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
FC,63,107,15746,7519,258,7/24,12/117,29.14,2.86,61.0,10,17,4,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
List A,154,151,7061,5518,177,5/42,5/42,31.17,4.68,39.8,5,1,0,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
T20s,120,114,2044,2572,82,4/12,4/12,31.36,7.54,24.9,2,0,0,Mehidy Hasan Miraz Career Stats,Bangladesh,Right hand Bat,Right arm Offbreak
Tests,64,120,13503,6304,242,6/67,9/115,26.04,2.8,55.7,8,10,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
ODIs,85,84,4467,3513,132,6/52,6/52,26.61,4.71,33.8,1,3,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
T20Is,41,41,922,1181,58,4/12,4/12,20.36,7.68,15.8,4,0,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
FC,105,194,20727,9621,387,6/35,9/115,24.86,2.78,53.5,14,12,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
