Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
ODIs,33,-,-,-,-,-,-,-,-,-,-,-,-,Zane Green Career Stats,Namibia,Wicketkeeper,Wicketkeeper Batter
T20Is,46,-,-,-,-,-,-,-,-,-,-,-,-,Zane Green Career Stats,Namibia,Wicketkeeper,Wicketkeeper Batter
FC,25,-,-,-,-,-,-,-,-,-,-,-,-,Zane Green Career Stats,Namibia,Wicketkeeper,Wicketkeeper Batter
List A,69,-,-,-,-,-,-,-,-,-,-,-,-,Zane Green Career Stats,Namibia,Wicketkeeper,Wicketkeeper Batter
T20s,66,-,-,-,-,-,-,-,-,-,-,-,-,Zane Green Career Stats,Namibia,Wicketkeeper,Wicketkeeper Batter
Tests,8,6,198,111,1,1/16,1/57,111.0,3.36,198.0,0,0,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
ODIs,47,22,402,371,8,3/48,3/48,46.37,5.53,50.2,0,0,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
T20Is,46,12,123,155,6,2/3,2/3,25.83,7.56,20.5,0,0,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
FC,56,59,3657,1954,64,6/70,9/118,30.53,3.2,57.1,3,1,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
List A,142,67,2038,1595,45,5/28,5/28,35.44,4.69,45.2,1,1,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
