Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,player_name,player_country,batsman_batting_style,batsman_playing_role
ODIs,69,61,5,1284,108*,22.92,1388,92.5,2,4,103,42,18,0,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder
T20Is,88,83,18,1351,74*,20.78,1109,121.82,0,5,96,68,30,0,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder
FC,68,97,10,3502,130,40.25,5058,69.23,9,20,322,121,45,0,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder
List A,165,138,22,3032,108*,26.13,3184,95.22,2,11,214,128,60,0,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder
T20s,196,183,42,3892,131*,27.6,2750,141.52,3,15,280,225,65,0,Dasun Shanaka Career Stats,Lanka,Right hand Bat,Allrounder
Tests,4,7,0,196,59,28.0,227,86.34,0,1,29,1,2,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
ODIs,48,42,7,832,80*,23.77,755,110.19,0,4,75,27,15,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
T20Is,58,49,11,533,71,14.02,430,123.95,0,1,54,8,22,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
FC,44,75,8,2657,120,39.65,3001,88.53,3,19,316,56,50,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
List A,91,80,15,1655,87,25.46,1448,114.29,0,10,153,58,34,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
T20s,157,121,27,1760,77*,18.72,1230,143.08,0,7,175,54,70,0,Wanindu Hasaranga Career Stats,Lanka,Right hand Bat,Allrounder
Tests,1,2,0,22,22,11.0,43,51.16,0,0,4,0,1,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
ODIs,26,24,6,451,75,25.05,575,78.43,0,1,32,8,6,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
T20Is,42,34,16,291,31,16.16,274,106.2,0,0,15,12,13,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
FC,41,61,4,1326,100*,23.26,1649,80.41,1,9,135,46,22,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
List A,93,73,23,1273,75,25.46,1428,89.14,0,5,81,45,26,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
T20s,101,82,39,825,75*,19.18,691,119.39,0,1,59,31,40,0,Chamika Karunaratne Career Stats,Lanka,Right hand Bat,Bowling Allrounder
Tests,2,3,0,59,38,19.66,149,39.59,0,0,6,1,1,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
ODIs,35,20,8,220,38*,18.33,397,55.41,0,0,16,2,7,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
T20Is,38,16,7,34,11*,3.77,48,70.83,0,0,1,2,9,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
FC,5,8,0,131,38,16.37,280,46.78,0,0,15,1,2,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
List A,56,32,11,272,38*,12.95,504,53.96,0,0,18,2,10,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
T20s,124,37,18,108,15,5.68,148,72.97,0,0,7,3,28,0,Maheesh Theekshana Career Stats,Lanka,Right hand Bat,Bowler
Tests,110,201,8,8651,335*,44.82,12275,70.47,26,36,1021,69,88,0,David Warner Career Stats,Australia,Lloyd,Legbreak
ODIs,161,159,6,6932,179,45.3,7127,97.26,22,33,733,130,71,0,David Warner Career Stats,Australia,Lloyd,Legbreak
T20Is,99,99,11,2894,100*,32.88,2048,141.3,1,24,295,105,56,0,David Warner Career Stats,Australia,Lloyd,Legbreak
FC,141,254,11,11130,335*,45.8,15678,70.99,34,45,1346,89,105,0,David Warner Career Stats,Australia,Lloyd,Legbreak
List A,210,208,8,8886,197,44.43,9043,98.26,28,39,930,188,90,0,David Warner Career Stats,Australia,Lloyd,Legbreak
T20s,356,355,44,11695,135*,37.6,8317,140.61,8,99,1180,421,172,0,David Warner Career Stats,Australia,Lloyd,Legbreak
Tests,24,36,4,1075,114,33.59,2305,46.63,1,6,112,7,25,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
ODIs,23,20,7,442,89*,34.0,530,83.39,0,1,36,9,10,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
T20Is,8,8,0,139,61,17.37,80,173.75,0,2,17,8,3,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
FC,56,87,13,3461,251,46.77,6682,51.79,9,13,386,37,38,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
List A,43,39,11,1041,144,37.17,1160,89.74,2,3,82,26,20,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
T20s,37,33,9,697,100*,29.04,460,151.52,1,4,64,30,12,0,Cameron Green Career Stats,Australia,Right hand Bat,Batting Allrounder
Tests,36,63,7,1663,181,29.69,3035,54.79,3,6,217,26,19,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
ODIs,89,85,11,2672,177*,36.1,2778,96.18,3,18,245,89,35,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
T20Is,49,47,9,1272,92*,33.47,955,133.19,0,8,110,53,24,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
FC,109,189,18,5860,211,34.26,10210,57.39,13,25,812,86,58,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
List A,150,143,24,4536,177*,38.11,4779,94.91,6,30,404,142,66,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
T20s,167,157,35,4007,100*,32.84,3043,131.67,1,25,295,179,70,0,Mitchell Marsh Career Stats,Australia,Right hand Bat,Allrounder
Tests,103,183,22,9396,239,58.36,17439,53.87,32,39,1033,53,168,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
ODIs,155,139,16,5356,164,43.54,6138,87.25,12,32,476,51,84,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
T20Is,65,53,11,1079,90,25.69,862,125.17,0,5,94,25,40,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
FC,165,285,32,14018,239,55.4,25388,55.21,48,60,1606,101,260,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
List A,204,186,28,7373,164,46.66,8372,88.06,15,46,631,100,113,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
T20s,243,214,45,5282,125*,31.25,4135,127.73,3,24,459,135,133,0,Steven Smith Career Stats,Australia,Steve Smith,Legbreak Googly
ODIs,70,63,8,1487,146*,27.03,1566,94.95,1,6,133,49,18,0,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder
T20Is,57,47,17,915,78,30.5,627,145.93,0,2,75,43,20,0,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder
FC,63,108,7,3348,170,33.14,6318,52.99,4,25,425,36,23,0,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder
List A,122,111,13,2912,146*,29.71,3237,89.95,4,14,248,104,37,0,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder
T20s,243,221,54,5053,147*,30.25,3686,137.08,1,26,410,216,62,0,Marcus Stoinis Career Stats,Australia,Right hand Bat,Batting Allrounder
Tests,7,14,1,339,104,26.07,570,59.47,1,0,33,7,5,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
ODIs,138,127,17,3895,201*,35.4,3069,126.91,4,23,373,150,85,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
T20Is,100,92,15,2275,145*,29.54,1486,153.09,4,10,185,115,41,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
FC,69,115,10,4147,278,39.49,5614,73.86,7,24,469,65,58,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
List A,213,194,25,5828,201*,34.48,4772,122.12,7,33,565,213,131,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
T20s,409,387,54,9268,154*,27.83,6070,152.68,6,52,786,453,193,0,Glenn Maxwell Career Stats,Australia,Right hand Bat,Batting Allrounder
Tests,36,63,9,1613,117,29.87,3203,50.35,4,5,175,12,74,11,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
ODIs,97,83,12,1867,100*,26.29,2288,81.59,1,11,129,34,108,9,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
T20Is,80,61,19,1146,80,27.28,848,135.14,0,3,91,45,50,6,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
FC,163,263,42,9126,152,41.29,17916,50.93,19,54,1054,103,440,21,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
List A,184,164,17,4849,155,32.98,5433,89.25,9,21,412,114,196,20,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
T20s,246,215,36,4897,130*,27.35,3575,136.97,1,26,430,165,130,19,Matthew Wade Career Stats,Australia,Wadey,Right arm Medium
Tests,56,79,11,1109,63,16.3,2621,42.31,0,2,108,25,29,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
ODIs,88,57,21,492,37,13.66,655,75.11,0,0,39,11,24,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
T20Is,50,23,11,116,21,9.66,94,123.4,0,0,6,6,15,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
FC,70,96,19,1443,82*,18.74,3196,45.15,0,5,151,27,34,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
List A,113,72,25,703,49,14.95,891,78.9,0,0,54,17,35,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
T20s,128,72,31,693,66*,16.9,501,138.32,0,3,41,41,31,0,Pat Cummins Career Stats,Australia,Cummo,Right arm Fast
ODIs,25,12,7,75,24*,15.0,68,110.29,0,0,7,4,7,0,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler
T20Is,36,7,3,17,9,4.25,17,100.0,0,0,0,0,14,0,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler
FC,34,52,4,664,49,13.83,1162,57.14,0,0,64,16,10,0,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler
List A,98,57,20,506,36*,13.67,561,90.19,0,0,47,14,23,0,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler
T20s,185,63,28,392,45,11.2,345,113.62,0,0,26,13,71,0,Kane Richardson Career Stats,Australia,Right hand Bat,Bowler
ODIs,96,47,17,285,36,9.5,434,65.66,0,0,26,1,18,0,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler
T20Is,74,17,8,49,13*,5.44,61,80.32,0,0,4,0,11,0,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler
FC,40,64,9,1221,74,22.2,1695,72.03,0,6,136,15,9,0,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler
List A,141,81,26,797,66,14.49,903,88.26,0,3,81,18,28,0,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler
T20s,246,77,33,278,23,6.31,325,85.53,0,0,22,3,33,0,Adam Zampa Career Stats,Australia,Right hand Bat,Bowler
Tests,25,34,2,802,126,25.06,1849,43.37,1,2,93,19,18,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
ODIs,104,78,29,1355,67,27.65,1485,91.24,0,3,100,38,43,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
T20Is,90,62,27,569,77*,16.25,458,124.23,0,1,43,18,36,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
FC,60,93,6,2692,136,30.94,5270,51.08,4,14,337,50,52,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
List A,134,105,31,2070,86,27.97,2286,90.55,0,8,172,54,59,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
T20s,178,136,51,2044,92*,24.04,1527,133.85,0,6,157,92,64,0,Mitchell Santner Career Stats,Zealand,Left hand Bat,Bowling Allrounder
Tests,96,137,11,2059,77*,16.34,2477,83.12,0,6,202,86,74,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
ODIs,161,96,35,740,55,12.13,771,95.97,0,1,59,26,44,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
T20Is,114,45,20,280,39,11.2,195,143.58,0,0,19,17,57,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
FC,137,187,16,2886,156,16.87,3494,82.59,1,8,294,110,87,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
List A,176,108,36,895,66*,12.43,907,98.67,0,2,73,32,50,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
T20s,251,117,40,863,74,11.2,607,142.17,0,2,64,47,114,0,Tim Southee Career Stats,Zealand,Right hand Bat,Bowler
Tests,17,22,8,102,18,7.28,345,29.56,0,0,14,4,5,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
ODIs,14,4,3,31,18*,31.0,43,72.09,0,0,4,0,2,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
T20Is,19,7,3,25,14*,6.25,21,119.04,0,0,1,2,1,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
FC,31,38,11,206,31,7.62,516,39.92,0,0,28,8,6,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
List A,19,6,3,41,18*,13.66,59,69.49,0,0,5,0,3,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
T20s,88,34,12,103,14*,4.68,108,95.37,0,0,9,5,13,0,Naseem Shah Career Stats,Pakistan,Right hand Bat,Bowler
Tests,26,42,1,1025,129,25.0,2080,49.27,1,7,134,4,57,6,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
ODIs,94,79,21,1752,79,30.2,2392,73.24,0,9,176,15,64,7,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
T20Is,60,48,22,686,55,26.38,481,142.61,0,1,71,28,30,8,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
FC,167,254,19,9620,213,40.93,16394,58.68,28,43,-,-,387,45,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
List A,260,228,38,7603,154*,40.01,8233,92.34,12,41,-,-,229,44,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
T20s,386,343,79,7081,97*,26.82,5234,135.28,0,32,688,234,227,69,Dinesh Karthik Career Stats,India,Dinesh,Right arm Offbreak
Tests,2,3,0,0,0,0.0,5,0.0,0,0,0,0,1,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
ODIs,36,34,0,705,72,20.73,919,76.71,0,5,65,5,9,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20Is,60,57,7,1047,73*,20.94,880,118.97,0,7,119,14,23,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
FC,24,36,4,1036,111,32.37,1622,63.87,1,7,135,3,20,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
List A,63,58,2,1264,72,22.57,1528,82.72,0,8,122,14,17,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20s,84,81,10,1548,73*,21.8,1253,123.54,0,9,181,23,37,0,Wessly Madhevere Career Stats,Zimbabwe,Right hand Bat,Allrounder
Tests,20,40,2,1332,160,35.05,2645,50.35,3,5,150,11,17,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
ODIs,116,112,13,3294,130*,33.27,4325,76.16,4,19,324,38,54,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20Is,65,64,4,1349,68*,22.48,1274,105.88,0,8,133,28,31,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
FC,89,160,9,6515,215,43.14,-,-,16,32,-,-,85,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
List A,210,200,33,6604,195,39.54,-,-,13,33,-,-,93,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20s,115,109,14,2452,120*,25.81,2073,118.28,1,16,236,68,53,0,Craig Ervine Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
Tests,22,43,4,1061,101,27.2,2615,40.57,1,5,102,8,46,5,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
ODIs,61,57,3,1188,102,22.0,1751,67.84,1,4,93,9,53,5,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
T20Is,49,49,2,682,48,14.51,557,122.44,0,0,59,27,27,2,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
FC,121,211,13,7046,240,35.58,12994,54.22,16,31,759,68,283,22,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
List A,173,160,14,4001,132,27.4,5409,73.96,5,18,312,53,149,24,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
T20s,103,95,7,1427,65,16.21,1168,122.17,0,3,105,51,52,7,Regis Chakabva Career Stats,Zimbabwe,Right hand Bat,Wicketkeeper
Tests,14,27,2,1034,151*,41.36,1851,55.86,4,3,117,7,13,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
ODIs,156,151,20,4986,174,38.06,5751,86.69,8,35,447,57,58,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20Is,76,76,8,1661,66,24.42,1297,128.06,0,11,161,42,26,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
FC,67,121,8,5080,178,44.95,-,-,14,25,-,-,66,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
List A,256,241,30,7353,174,34.84,-,-,12,46,-,-,98,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20s,118,116,21,2222,66,23.38,1791,124.06,0,12,216,49,45,0,Sean Williams Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
Tests,17,33,0,1187,127,35.96,2152,55.15,1,8,118,17,5,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
ODIs,139,132,20,4143,141,36.99,4790,86.49,7,21,341,103,56,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
T20Is,78,74,4,1774,87,25.34,1320,134.39,0,12,128,86,36,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
FC,66,121,4,4363,226,37.29,7283,59.9,7,23,485,80,51,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
List A,240,227,30,7181,141,36.45,8343,86.07,12,35,598,187,106,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
T20s,201,187,24,4141,95,25.4,3082,134.36,0,27,316,190,85,0,Sikandar Raza Career Stats,Zimbabwe,Right hand Bat,Batting Allrounder
Tests,4,8,0,111,41,13.87,291,38.14,0,0,18,0,1,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
ODIs,7,6,1,27,11,5.4,60,45.0,0,0,1,1,2,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
T20Is,30,27,8,385,66*,20.26,356,108.14,0,1,23,13,18,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
FC,26,46,6,1267,121*,31.67,2556,49.56,2,5,141,11,9,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
List A,40,39,7,941,77,29.4,1397,67.35,0,6,74,6,10,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
T20s,53,49,14,859,67*,24.54,757,113.47,0,3,55,32,27,0,Milton Shumba Career Stats,Zimbabwe,Left hand Bat,Top order Batter
Tests,3,5,0,24,16,4.8,70,34.28,0,0,3,0,1,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
ODIs,49,42,6,898,83,24.94,1129,79.53,0,6,71,22,20,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20Is,72,66,25,1138,57*,27.75,966,117.8,0,2,74,47,35,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
FC,30,52,4,1681,151,35.02,3294,51.03,3,11,196,15,25,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
List A,106,93,12,2332,105,28.79,3053,76.38,1,16,193,47,53,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
T20s,113,102,35,1975,77*,29.47,1525,129.5,0,6,133,94,51,0,Ryan Burl Career Stats,Zimbabwe,Left hand Bat,Middle order Batter
Tests,1,2,0,56,37,28.0,94,59.57,0,0,10,0,0,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
ODIs,42,35,5,416,46,13.86,496,83.87,0,0,41,6,12,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20Is,55,39,13,428,35,16.46,349,122.63,0,0,37,13,12,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
FC,57,88,8,2191,132*,27.38,4158,52.69,2,13,215,41,32,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
List A,93,77,12,1271,56,19.55,1583,80.29,0,5,99,24,26,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20s,85,65,19,911,41*,19.8,777,117.24,0,0,72,27,19,0,Luke Jongwe Career Stats,Zimbabwe,Right hand Bat,Allrounder
Tests,4,7,2,50,19*,10.0,81,61.72,0,0,7,1,1,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
ODIs,41,25,10,161,35,10.73,200,80.5,0,0,15,7,6,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
T20Is,46,18,8,49,11*,4.9,43,113.95,0,0,5,2,7,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
FC,25,33,12,269,35,12.8,463,58.09,0,0,32,8,15,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
List A,73,41,19,204,35,9.27,261,78.16,0,0,18,8,16,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
T20s,77,32,14,89,15*,4.94,82,108.53,0,0,8,3,12,0,Richard Ngarava Career Stats,Zimbabwe,Left hand Bat,Bowler
Tests,9,16,2,90,22,6.42,185,48.64,0,0,14,1,0,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
ODIs,87,57,25,206,23,6.43,439,46.92,0,0,17,2,8,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
T20Is,56,14,8,49,8,8.16,66,74.24,0,0,2,0,7,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
FC,61,86,24,738,68,11.9,1130,65.3,0,1,97,16,18,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
List A,181,104,43,437,37*,7.16,778,56.16,0,0,26,10,29,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
T20s,110,32,16,119,19,7.43,151,78.8,0,0,5,2,25,0,Tendai Chatara Career Stats,Zimbabwe,Right hand Bat,Bowler
Tests,6,11,4,102,30*,14.57,208,49.03,0,0,17,1,0,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
ODIs,45,34,13,122,17*,5.8,250,48.8,0,0,9,2,13,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
T20Is,43,15,10,21,8,4.2,39,53.84,0,0,3,0,11,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
FC,23,33,10,337,52*,14.65,695,48.48,0,1,41,5,6,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
List A,66,48,20,260,50*,9.28,433,60.04,0,1,18,7,15,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
T20s,65,23,13,33,9,3.3,67,49.25,0,0,4,0,14,0,Blessing Muzarabani Career Stats,Zimbabwe,Right hand Bat,Bowler
Tests,57,100,9,2907,152,31.94,5365,54.18,2,18,340,33,153,1,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
ODIs,181,154,27,5022,162*,39.54,4288,117.11,11,26,407,170,221,37,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
T20Is,114,105,21,2927,101*,34.84,2024,144.61,1,22,263,123,65,11,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
FC,122,199,16,5888,152,32.17,10293,57.2,7,33,732,72,274,3,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
List A,251,213,47,7187,162*,43.29,6074,118.32,13,42,630,233,271,42,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
T20s,392,369,57,10738,124,34.41,7419,144.73,6,77,955,460,235,38,Jos Buttler Career Stats,England,Right hand Bat,Wicketkeeper Batter
Tests,11,21,0,573,94,27.28,1307,43.84,0,5,77,3,8,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
ODIs,70,67,3,2419,171,37.79,2527,95.72,6,14,276,50,27,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
T20Is,75,75,8,2074,116*,30.95,1499,138.35,1,12,225,70,39,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
FC,107,182,6,6655,236,37.81,11268,59.06,13,38,970,38,84,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
List A,175,169,6,6260,187*,38.4,6317,99.09,17,32,713,129,66,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
T20s,421,418,31,11607,119*,29.99,7897,146.97,6,74,1296,454,208,0,Alex Hales Career Stats,England,Right hand Bat,Occasional Wicketkeeper
Tests,68,118,8,3094,155*,28.12,5973,51.79,5,15,375,34,40,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
ODIs,138,112,15,2355,128,24.27,2399,98.16,3,6,203,78,48,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
T20Is,82,69,17,1154,72*,22.19,805,143.35,0,7,86,63,19,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
FC,202,346,27,11514,250,36.09,20866,55.18,20,70,-,-,120,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
List A,255,223,17,5650,158,27.42,5633,100.3,11,21,588,146,81,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
T20s,301,276,31,6017,121*,24.55,4260,141.24,2,30,529,301,96,0,Moeen Ali Career Stats,England,Moe,Right arm Offbreak
Tests,1,2,1,16,9,16.0,18,88.88,0,0,0,1,0,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
ODIs,25,22,3,558,95*,29.36,542,102.95,0,3,37,26,8,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
T20Is,38,32,7,617,103,24.68,412,149.75,1,1,32,40,19,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
FC,63,96,15,3085,224,38.08,5180,59.55,7,15,385,32,74,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
List A,80,68,6,2110,129,34.03,2102,100.38,1,13,149,86,33,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
T20s,243,230,25,5866,103,28.61,4032,145.48,2,32,389,358,101,0,Liam Livingstone Career Stats,England,Right hand Bat,Batting Allrounder
